Datetime,Total Energy 
02/21/2023 05:45:00,0.2003
02/21/2023 06:00:00,0.207
02/21/2023 06:15:00,0.1972
02/21/2023 06:30:00,0.2034
02/21/2023 06:45:00,0.2051
02/21/2023 07:00:00,0.2046
02/21/2023 07:15:00,0.2031
02/21/2023 07:30:00,0.2038
02/21/2023 07:45:00,0.2047
02/21/2023 08:00:00,0.206
02/21/2023 08:15:00,0.2031
02/21/2023 08:30:00,0.2083
02/21/2023 08:45:00,0.2071
02/21/2023 09:00:00,0.2083
02/21/2023 09:15:00,0.2049
02/21/2023 09:30:00,0.2035
02/21/2023 09:45:00,0.2046
02/21/2023 10:00:00,0.2032
02/21/2023 10:15:00,0.2054
02/21/2023 10:30:00,0.2033
02/21/2023 10:45:00,0.2044
02/21/2023 11:00:00,0.2083
02/21/2023 11:15:00,0.7314
02/21/2023 11:30:00,0.5315
02/21/2023 11:45:00,0.222
02/21/2023 12:00:00,0.9493
02/21/2023 12:15:00,1.1207
02/21/2023 12:30:00,0.2336
02/21/2023 12:45:00,0.2066
02/21/2023 13:00:00,0.2049
02/21/2023 13:15:00,0.2404
02/21/2023 13:30:00,1.183
02/21/2023 13:45:00,1.7029
02/21/2023 14:00:00,1.6732
02/21/2023 14:15:00,1.6805
02/21/2023 14:30:00,1.6981
02/21/2023 14:45:00,0.6724
02/21/2023 15:00:00,0.2761
02/21/2023 15:15:00,0.7188
02/21/2023 15:30:00,0.2846
02/21/2023 15:45:00,0.281
02/21/2023 16:00:00,0.2861
02/21/2023 16:15:00,0.2788
02/21/2023 16:30:00,0.2567
02/21/2023 16:45:00,0.2332
02/21/2023 17:00:00,0.2344
02/21/2023 17:15:00,0.2312
02/21/2023 17:30:00,0.2531
02/21/2023 17:45:00,0.2648
02/21/2023 18:00:00,0.2449
02/21/2023 18:15:00,0.2559
02/21/2023 18:30:00,0.2569
02/21/2023 18:45:00,0.2539
02/21/2023 19:00:00,0.2439
02/21/2023 19:15:00,0.2077
02/21/2023 19:30:00,0.2073
02/21/2023 19:45:00,0.2083
02/21/2023 20:00:00,0.2072
02/21/2023 20:15:00,0.2091
02/21/2023 20:30:00,0.2082
02/21/2023 20:45:00,0.2091
02/21/2023 21:00:00,0.2098
02/21/2023 21:15:00,0.2115
02/21/2023 21:30:00,0.2114
02/21/2023 21:45:00,0.2108
02/21/2023 22:00:00,0.2061
02/21/2023 22:15:00,0.2072
02/21/2023 22:30:00,0.2072
02/21/2023 22:45:00,0.2024
