Date,Time,Outdoor Temperature,Outdoor RH,Outdoor dewpoint Temperature,Outdoor Absolute humidity
20-02-2023,00:00:00,24.2,84.8,21.5,18.7
20-02-2023,00:15:00,24.2,84.8,21.5,18.7
20-02-2023,00:30:00,24.1,85,21.4,18.6
20-02-2023,00:45:00,24.1,85.3,21.5,18.7
20-02-2023,01:00:00,24.1,85.4,21.5,18.7
20-02-2023,01:15:00,24,85.5,21.4,18.6
20-02-2023,01:30:00,24,86,21.5,18.7
20-02-2023,01:45:00,24,86.3,21.5,18.7
20-02-2023,02:00:00,24,86.2,21.5,18.7
20-02-2023,02:15:00,23.9,86.4,21.5,18.7
20-02-2023,02:30:00,23.8,86.6,21.5,18.7
20-02-2023,02:45:00,23.8,86.5,21.4,18.6
20-02-2023,03:00:00,23.8,87,21.5,18.7
20-02-2023,03:15:00,23.7,87.2,21.5,18.7
20-02-2023,03:30:00,23.6,87.2,21.4,18.6
20-02-2023,03:45:00,23.6,87.2,21.4,18.6
20-02-2023,04:00:00,23.6,87.3,21.4,18.6
20-02-2023,04:15:00,23.6,87.2,21.3,18.5
20-02-2023,04:30:00,23.6,87.6,21.4,18.6
20-02-2023,04:45:00,23.6,87.7,21.4,18.7
20-02-2023,05:00:00,23.4,87.8,21.3,18.5
20-02-2023,05:15:00,23.5,87.9,21.3,18.6
20-02-2023,05:30:00,23.4,88.2,21.4,18.6
20-02-2023,05:45:00,23.3,88.5,21.3,18.5
20-02-2023,06:00:00,23.2,88.8,21.2,18.4
20-02-2023,06:15:00,23.1,89.1,21.2,18.4
20-02-2023,06:30:00,23.1,89.2,21.2,18.5
20-02-2023,06:45:00,23.1,89.5,21.3,18.5
20-02-2023,07:00:00,23.2,89.5,21.4,18.6
20-02-2023,07:15:00,23.3,89.2,21.5,18.7
20-02-2023,07:30:00,23.4,89.1,21.5,18.8
20-02-2023,07:45:00,23.6,89.1,21.7,18.9
20-02-2023,08:00:00,23.7,88.6,21.7,19
20-02-2023,08:15:00,23.9,88,21.8,19.1
20-02-2023,08:30:00,24.2,87,21.9,19.2
20-02-2023,08:45:00,24.4,85.8,21.9,19.1
20-02-2023,09:00:00,24.8,82.8,21.7,18.8
20-02-2023,09:15:00,25.2,81.4,21.8,19
20-02-2023,09:30:00,25.5,78.1,21.4,18.5
20-02-2023,09:45:00,25.8,76,21.3,18.3
20-02-2023,10:00:00,26.2,75.4,21.5,18.6
20-02-2023,10:15:00,26.5,73.6,21.4,18.5
20-02-2023,10:30:00,26.9,69.8,20.9,17.8
20-02-2023,10:45:00,27,69,20.9,17.8
20-02-2023,11:00:00,27.4,67.5,20.9,17.8
20-02-2023,11:15:00,27.7,66.7,20.9,17.8
20-02-2023,11:30:00,28,63.8,20.5,17.3
20-02-2023,11:45:00,28.2,60.8,19.9,16.7
20-02-2023,12:00:00,28.4,60.8,20.1,17
20-02-2023,12:15:00,28.7,59.4,20,16.8
20-02-2023,12:30:00,28.8,58.8,19.9,16.7
20-02-2023,12:45:00,28.8,59,20,16.8
20-02-2023,13:00:00,29.2,58.2,20.1,16.9
20-02-2023,13:15:00,29.4,57.2,20,16.8
20-02-2023,13:30:00,29.7,54.2,19.4,16.1
20-02-2023,13:45:00,29.6,55.2,19.7,16.4
20-02-2023,14:00:00,29.3,55.3,19.4,16.1
20-02-2023,14:15:00,29.3,56,19.6,16.3
20-02-2023,14:30:00,29.3,57,19.9,16.6
20-02-2023,14:45:00,29.3,57.5,20,16.8
20-02-2023,15:00:00,29.3,60.1,20.8,17.6
20-02-2023,15:15:00,29.2,62.1,21.1,18
20-02-2023,15:30:00,29.1,63.2,21.3,18.2
20-02-2023,15:45:00,29.1,63.6,21.5,18.4
20-02-2023,16:00:00,29,63.7,21.4,18.3
20-02-2023,16:15:00,28.9,64.1,21.4,18.3
20-02-2023,16:30:00,28.8,64.8,21.5,18.5
20-02-2023,16:45:00,28.7,64.9,21.5,18.4
20-02-2023,17:00:00,28.6,65,21.4,18.3
20-02-2023,17:15:00,28.4,65.4,21.3,18.2
20-02-2023,17:30:00,28.2,66.7,21.4,18.4
20-02-2023,17:45:00,28.1,68.7,21.7,18.7
20-02-2023,18:00:00,27.9,70,21.9,18.9
20-02-2023,18:15:00,27.7,70.5,21.8,18.9
20-02-2023,18:30:00,27.5,72.6,22.1,19.2
20-02-2023,18:45:00,27.3,74.9,22.4,19.6
20-02-2023,19:00:00,27.1,75.6,22.4,19.6
20-02-2023,19:15:00,27,76.9,22.6,19.7
20-02-2023,19:30:00,26.8,78.6,22.8,20
20-02-2023,19:45:00,26.6,79.6,22.8,20
20-02-2023,20:00:00,26.4,80.5,22.8,20
20-02-2023,20:15:00,26.3,80.9,22.7,20
20-02-2023,20:30:00,26.2,81.2,22.7,19.9
20-02-2023,20:45:00,26,81.3,22.5,19.8
20-02-2023,21:00:00,25.9,81.6,22.5,19.8
20-02-2023,21:15:00,25.8,81.9,22.5,19.7
20-02-2023,21:30:00,25.7,82.6,22.5,19.7
20-02-2023,21:45:00,25.6,82.8,22.5,19.7
20-02-2023,22:00:00,25.5,83.2,22.4,19.7
20-02-2023,22:15:00,25.5,83.4,22.4,19.7
20-02-2023,22:30:00,25.4,83.6,22.4,19.6
20-02-2023,22:45:00,25.2,84.4,22.4,19.7
20-02-2023,23:00:00,25.2,84.8,22.4,19.7
20-02-2023,23:15:00,25,85.3,22.4,19.7
20-02-2023,23:30:00,24.8,86,22.3,19.6
20-02-2023,23:45:00,24.8,85.9,22.3,19.6
21-02-2023,00:00:00,24.8,86.2,22.3,19.6
21-02-2023,00:15:00,24.8,86.6,22.4,19.7
21-02-2023,00:30:00,24.7,86.8,22.3,19.6
21-02-2023,00:45:00,24.7,86.9,22.4,19.7
21-02-2023,01:00:00,24.7,87.1,22.4,19.7
21-02-2023,01:15:00,24.7,87.6,22.4,19.8
21-02-2023,01:30:00,24.6,88.2,22.5,19.8
21-02-2023,01:45:00,24.6,88.5,22.6,19.9
21-02-2023,02:00:00,24.6,88.4,22.6,19.9
21-02-2023,02:15:00,24.7,88.6,22.6,20
21-02-2023,02:30:00,24.7,88.3,22.6,20
21-02-2023,02:45:00,24.7,88.1,22.6,20
21-02-2023,03:00:00,24.7,87.9,22.6,19.9
21-02-2023,03:15:00,24.7,87.7,22.5,19.9
21-02-2023,03:30:00,24.7,87.5,22.4,19.8
21-02-2023,03:45:00,24.7,87.8,22.5,19.8
21-02-2023,04:00:00,24.7,87.6,22.5,19.8
21-02-2023,04:15:00,24.7,87,22.4,19.7
21-02-2023,04:30:00,24.7,87.4,22.4,19.8
21-02-2023,04:45:00,24.6,87.2,22.3,19.6
21-02-2023,05:00:00,24.7,86.8,22.3,19.6
21-02-2023,05:15:00,24.6,86.1,22.1,19.4
21-02-2023,05:30:00,24.6,85.8,22.1,19.3
21-02-2023,05:45:00,24.7,85.6,22.1,19.3
21-02-2023,06:00:00,24.6,84.3,21.8,19
21-02-2023,06:15:00,24.6,84.7,21.9,19.1
21-02-2023,06:30:00,24.7,84.6,21.9,19.1
21-02-2023,06:45:00,24.7,83.4,21.7,18.9
21-02-2023,07:00:00,24.7,84.2,21.9,19.1
21-02-2023,07:15:00,24.6,83.2,21.5,18.7
21-02-2023,07:30:00,24.1,80.5,20.6,17.6
21-02-2023,07:45:00,24.1,78.7,20.2,17.2
21-02-2023,08:00:00,24.1,78.3,20.1,17.2
21-02-2023,08:15:00,24.3,78.6,20.4,17.4
21-02-2023,08:30:00,24.5,78.5,20.5,17.5
21-02-2023,08:45:00,24.6,78.1,20.5,17.6
21-02-2023,09:00:00,24.9,78.5,20.9,18
21-02-2023,09:15:00,25.2,77.9,21.1,18.1
21-02-2023,09:30:00,25.5,76.5,21,18.1
21-02-2023,09:45:00,25.8,75.1,21.1,18.1
21-02-2023,10:00:00,26.1,74.1,21.1,18.1
21-02-2023,10:15:00,26.6,73,21.3,18.4
21-02-2023,10:30:00,26.9,70.8,21.1,18.1
21-02-2023,10:45:00,27.2,69.4,21.1,18.1
21-02-2023,11:00:00,27.6,68.2,21.3,18.2
21-02-2023,11:15:00,28,66.6,21.1,18.1
21-02-2023,11:30:00,28.5,62.5,20.6,17.4
21-02-2023,11:45:00,28.8,59.3,20.1,16.9
21-02-2023,12:00:00,29.3,44.7,16.1,13.1
21-02-2023,12:15:00,29.8,45.7,16.8,13.7
21-02-2023,12:30:00,29.9,44.6,16.6,13.5
21-02-2023,12:45:00,30.2,42.6,16.1,13.1
21-02-2023,13:00:00,30.4,41.9,16,13
21-02-2023,13:15:00,30.7,32.8,12.5,10.3
21-02-2023,13:30:00,31.1,27.9,10.4,9
21-02-2023,13:45:00,31.3,22.6,7.4,7.4
21-02-2023,14:00:00,31.5,25.8,9.5,8.5
21-02-2023,14:15:00,31.5,24.1,8.6,7.9
21-02-2023,14:30:00,31.5,29.1,11.4,9.6
21-02-2023,14:45:00,31.5,30.7,12.2,10.1
21-02-2023,15:00:00,31.6,30.3,12,10
21-02-2023,15:15:00,31.6,30.6,12.2,10.1
21-02-2023,15:30:00,31.6,32.4,13,10.7
21-02-2023,15:45:00,31.5,33,13.3,10.9
21-02-2023,16:00:00,31.3,34.6,13.8,11.3
21-02-2023,16:15:00,31.2,35.7,14.2,11.5
21-02-2023,16:30:00,30.9,35.8,14.1,11.4
21-02-2023,16:45:00,30.6,45.1,17.4,14.2
21-02-2023,17:00:00,30.3,47.7,18,14.7
21-02-2023,17:15:00,30,50.1,18.4,15.2
21-02-2023,17:30:00,29.6,52.1,18.8,15.5
21-02-2023,17:45:00,29.4,53.1,18.8,15.6
21-02-2023,18:00:00,29.1,54.3,18.9,15.7
21-02-2023,18:15:00,28.8,55.2,19,15.7
21-02-2023,18:30:00,28.5,56.5,19.1,15.8
21-02-2023,18:45:00,28.3,57.5,19.1,15.9
21-02-2023,19:00:00,28.1,57.9,19.1,15.9
21-02-2023,19:15:00,28,59.2,19.2,16.1
21-02-2023,19:30:00,27.8,60.1,19.4,16.2
21-02-2023,19:45:00,27.6,61.1,19.4,16.3
21-02-2023,20:00:00,27.5,62.2,19.6,16.4
21-02-2023,20:15:00,27.3,65.3,20.3,17.1
21-02-2023,20:30:00,27.2,68.7,20.9,17.9
21-02-2023,20:45:00,27,71.5,21.4,18.4
21-02-2023,21:00:00,26.8,74,21.7,18.8
21-02-2023,21:15:00,26.5,76.1,22,19.1
21-02-2023,21:30:00,26.4,77,22,19.2
21-02-2023,21:45:00,26.2,78.2,22.1,19.3
21-02-2023,22:00:00,26.1,79.1,22.2,19.4
21-02-2023,22:15:00,25.9,80.4,22.3,19.5
21-02-2023,22:30:00,25.8,81.3,22.3,19.6
21-02-2023,22:45:00,25.8,81.3,22.3,19.5
21-02-2023,23:00:00,25.6,81.8,22.3,19.5
21-02-2023,23:15:00,25.6,81.6,22.2,19.4
21-02-2023,23:30:00,25.5,81.5,22.1,19.3
21-02-2023,23:45:00,25.4,81.4,22,19.2
22-02-2023,00:00:00,25.3,82,22,19.2
22-02-2023,00:15:00,25.2,82.8,22,19.2
22-02-2023,00:30:00,25,83.5,22,19.3
22-02-2023,00:45:00,25.1,82.5,21.9,19.1
22-02-2023,01:00:00,25,82.4,21.8,19
22-02-2023,01:15:00,24.9,82.4,21.7,18.9
22-02-2023,01:30:00,24.8,82.8,21.7,18.9
22-02-2023,01:45:00,24.7,83.2,21.7,18.9
22-02-2023,02:00:00,24.7,83.3,21.7,18.8
22-02-2023,02:15:00,24.6,83.7,21.7,18.9
22-02-2023,02:30:00,24.5,83.7,21.6,18.8
22-02-2023,02:45:00,24.5,84,21.6,18.8
22-02-2023,03:00:00,24.4,84.7,21.7,18.9
22-02-2023,03:15:00,24.3,85.1,21.7,18.9
22-02-2023,03:30:00,24.4,85,21.7,18.9
22-02-2023,03:45:00,24.4,85.1,21.7,18.9
22-02-2023,04:00:00,24.3,85.3,21.7,18.9
22-02-2023,04:15:00,24.3,85.3,21.7,18.9
22-02-2023,04:30:00,24.4,85.2,21.7,18.9
22-02-2023,04:45:00,24.3,84.9,21.6,18.8
22-02-2023,05:00:00,24.3,85.3,21.7,18.9
22-02-2023,05:15:00,24.3,84.9,21.6,18.8
22-02-2023,05:30:00,24.2,84.5,21.5,18.6
22-02-2023,05:45:00,24.2,84.2,21.4,18.6
22-02-2023,06:00:00,24.2,83.9,21.3,18.5
22-02-2023,06:15:00,24.2,83.9,21.3,18.5
22-02-2023,06:30:00,24.3,83.9,21.4,18.6
22-02-2023,06:45:00,24.3,84,21.4,18.6
22-02-2023,07:00:00,24.3,83.6,21.4,18.6
22-02-2023,07:15:00,24.3,83.9,21.4,18.6
22-02-2023,07:30:00,24.4,83,21.4,18.5
22-02-2023,07:45:00,24.5,82.4,21.3,18.4
22-02-2023,08:00:00,24.5,81.6,21.1,18.3
22-02-2023,08:15:00,24.8,81,21.3,18.4
22-02-2023,08:30:00,24.9,80.4,21.3,18.4
22-02-2023,08:45:00,24.9,80.4,21.3,18.4
22-02-2023,09:00:00,25.3,78.7,21.4,18.5
22-02-2023,09:15:00,25.6,77.5,21.4,18.5
22-02-2023,09:30:00,25.9,76.5,21.5,18.6
22-02-2023,09:45:00,26.2,73.8,21.2,18.2
22-02-2023,10:00:00,26.7,73.9,21.7,18.7
22-02-2023,10:15:00,27.1,71.9,21.6,18.6
22-02-2023,10:30:00,27.5,68.3,21.2,18.1
22-02-2023,10:45:00,27.9,66.8,21.2,18.1
22-02-2023,11:00:00,28.3,65.6,21.2,18.1
